"Name","URL","Category","FetchedAt","HomepageStatus","V1_Artifact","V2_Independence","V3_Verifiability","V4_AIAccountability","V5_Pricing","V6_TechCrunch","V1_Risk_Terms_Hit","TrustPageCount","AISubprocessorMentions","PricingHasDollar","PricingHidden","Notes"
"Vanta","https://www.vanta.com","compliance","2026-05-18T18:24:56.554Z","200","risk","manual-review","pass","flag-no-mention","hidden","manual-review","audit-ready","4","","no","yes",""
"Drata","https://drata.com","compliance","2026-05-18T18:25:08.043Z","403","","","","","","","","0","","no","no","Homepage returned HTTP 403"
"Secureframe","https://secureframe.com","compliance","2026-05-18T18:25:09.127Z","200","risk","manual-review","pass","flag-no-mention","mixed","manual-review","get soc 2","8","","yes","yes",""
"Sprinto","https://sprinto.com","compliance","2026-05-18T18:25:21.426Z","200","likely-pass","manual-review","partial","flag-no-mention","no-signal","manual-review","","2","","no","no",""
"Conveyor","https://www.conveyor.com","compliance","2026-05-18T18:25:35.261Z","200","likely-pass","manual-review","partial","flag-no-mention","mixed","manual-review","","2","","yes","yes",""
"Tugboat Logic","https://www.tugboatlogic.com","compliance","2026-05-18T18:25:48.154Z","200","likely-pass","manual-review","pass","flag-no-mention","hidden","manual-review","","9","","no","yes",""
"Thoropass","https://thoropass.com","compliance","2026-05-18T18:25:59.200Z","200","risk","manual-review","partial","pass","no-signal","manual-review","audit-ready|audit ready","1","openai","no","no",""
"Probo","https://www.getprobo.com","compliance","2026-05-18T18:26:11.659Z","200","risk","manual-review","partial","flag-no-mention","no-pricing-page","manual-review","get soc 2|audit-ready","2","","no","no","No /pricing or /plans page reachable for V5 audit"
"AccessiBE","https://accessibe.com","accessibility","2026-05-18T18:26:24.863Z","200","likely-pass","manual-review","pass","flag-no-mention","hidden","manual-review","","3","","no","yes",""
"AudioEye","https://www.audioeye.com","accessibility","2026-05-18T18:26:51.489Z","429","","","","","","","","0","","no","no","Homepage returned HTTP 429"
"UserWay","https://userway.org","accessibility","2026-05-18T18:26:52.824Z","200","likely-pass","manual-review","partial","flag-no-mention","no-signal","manual-review","","1","","no","no",""
"Reciteme","https://reciteme.com","accessibility","2026-05-18T18:27:06.565Z","200","likely-pass","manual-review","fail","flag-no-mention","no-pricing-page","manual-review","","0","","no","no","No /pricing or /plans page reachable for V5 audit"
"Cursor","https://www.cursor.com","ai-dev","2026-05-18T18:27:26.734Z","200","likely-pass","manual-review","pass","flag-no-mention","mixed","manual-review","","4","","yes","yes",""
"Codeium / Windsurf","https://codeium.com","ai-dev","2026-05-18T18:27:39.864Z","200","likely-pass","manual-review","pass","flag-no-mention","pass","manual-review","","9","","yes","no",""
"Tabnine","https://www.tabnine.com","ai-dev","2026-05-18T18:27:53.810Z","200","likely-pass","manual-review","pass","flag-no-mention","no-signal","manual-review","","3","","no","no",""
"Continue.dev","https://www.continue.dev","ai-dev","2026-05-18T18:28:09.100Z","200","likely-pass","manual-review","pass","flag-no-mention","pass","manual-review","","9","","yes","no",""
"Helicone","https://www.helicone.ai","ai-ops","2026-05-18T18:28:22.350Z","200","likely-pass","manual-review","partial","pass","mixed","manual-review","","2","openai|anthropic","yes","yes",""
"Langfuse","https://langfuse.com","ai-ops","2026-05-18T18:28:33.176Z","200","likely-pass","manual-review","pass","pass","mixed","manual-review","","3","openai","yes","yes",""
"Portkey","https://portkey.ai","ai-ops","2026-05-18T18:28:44.514Z","200","likely-pass","manual-review","partial","flag-no-mention","no-signal","manual-review","","2","","no","no",""
"LangChain","https://www.langchain.com","ai-ops","2026-05-18T18:28:55.729Z","200","likely-pass","manual-review","partial","flag-no-mention","mixed","manual-review","","1","","yes","yes",""
"LlamaIndex","https://www.llamaindex.ai","ai-ops","2026-05-18T18:29:07.649Z","200","likely-pass","manual-review","partial","pass","mixed","manual-review","","1","openai|claude|perplexity","yes","yes",""
"CrewAI","https://www.crewai.com","ai-agents","2026-05-18T18:29:20.909Z","200","likely-pass","manual-review","partial","flag-no-mention","mixed","manual-review","","2","","yes","yes",""
"BaseAI","https://baseai.dev","ai-agents","2026-05-18T18:29:34.003Z","200","likely-pass","manual-review","fail","no-privacy-page","no-pricing-page","manual-review","","0","","no","no","No /privacy page reachable for V4 audit; No /pricing or /plans page reachable for V5 audit"
"Pinecone","https://www.pinecone.io","vector-db","2026-05-18T18:29:50.408Z","200","likely-pass","manual-review","partial","flag-no-mention","mixed","manual-review","","2","","yes","yes",""
"Weaviate","https://weaviate.io","vector-db","2026-05-18T18:30:03.196Z","200","likely-pass","manual-review","partial","flag-no-mention","mixed","manual-review","","2","","yes","yes",""
"Qdrant","https://qdrant.tech","vector-db","2026-05-18T18:30:14.226Z","200","risk","manual-review","fail","no-privacy-page","no-signal","manual-review","compliance badge","0","","no","no","No /privacy page reachable for V4 audit"
"Chroma","https://www.trychroma.com","vector-db","2026-05-18T18:30:28.786Z","200","likely-pass","manual-review","pass","flag-no-mention","pass","manual-review","","9","","yes","no",""
"Mem","https://mem.ai","knowledge","2026-05-18T18:30:41.136Z","200","likely-pass","manual-review","pass","flag-no-mention","no-signal","manual-review","","9","","no","no",""
"Granola","https://www.granola.ai","meetings","2026-05-18T18:30:53.151Z","200","likely-pass","manual-review","pass","pass","pass","manual-review","","3","openai|anthropic","yes","no",""
"Fathom","https://fathom.video","meetings","2026-05-18T18:31:07.063Z","200","likely-pass","manual-review","partial","pass","mixed","manual-review","","1","openai|anthropic|claude|chatgpt","yes","yes",""
"Fireflies","https://fireflies.ai","meetings","2026-05-18T18:31:19.004Z","200","likely-pass","manual-review","pass","flag-no-mention","pass","manual-review","","3","","yes","no",""
"Otter","https://otter.ai","meetings","2026-05-18T18:31:32.922Z","200","likely-pass","manual-review","pass","flag-no-mention","pass","manual-review","","8","","yes","no",""
"Copy.ai","https://www.copy.ai","content","2026-05-18T18:31:46.721Z","200","likely-pass","manual-review","pass","flag-no-mention","mixed","manual-review","","3","","yes","yes",""
"Jasper","https://www.jasper.ai","content","2026-05-18T18:31:59.077Z","200","likely-pass","manual-review","pass","flag-no-mention","hidden","manual-review","","3","","no","yes",""
"Rytr","https://rytr.me","content","2026-05-18T18:32:10.492Z","200","likely-pass","manual-review","partial","pass","pass","manual-review","","1","chatgpt","yes","no",""
"Writesonic","https://writesonic.com","content","2026-05-18T18:32:22.465Z","200","likely-pass","manual-review","partial","pass","pass","manual-review","","2","openai|anthropic|claude|chatgpt|perplexity","yes","no",""
"Canny","https://canny.io","product-feedback","2026-05-18T18:32:34.503Z","200","likely-pass","manual-review","pass","flag-no-mention","mixed","manual-review","","3","","yes","yes",""
"ProductBoard","https://www.productboard.com","product-feedback","2026-05-18T18:32:46.166Z","200","likely-pass","manual-review","partial","flag-no-mention","mixed","manual-review","","2","","yes","yes",""
"Sleekplan","https://sleekplan.com","product-feedback","2026-05-18T18:32:59.659Z","200","likely-pass","manual-review","partial","flag-no-mention","hidden","manual-review","","2","","no","yes",""
"Featurebase","https://featurebase.app","product-feedback","2026-05-18T18:33:11.388Z","200","likely-pass","manual-review","partial","no-privacy-page","pass","manual-review","","2","","yes","no","No /privacy page reachable for V4 audit"
"Savio","https://www.savio.io","product-feedback","2026-05-18T18:33:26.577Z","200","likely-pass","manual-review","partial","pass","pass","manual-review","","1","openai","yes","no",""
"Lindy","https://www.lindy.ai","ai-agents","2026-05-18T18:33:39.621Z","200","likely-pass","manual-review","pass","flag-no-mention","mixed","manual-review","","3","","yes","yes",""
"Magic Loops","https://magicloops.dev","ai-agents","2026-05-18T18:33:51.016Z","200","likely-pass","manual-review","pass","pass","pass","manual-review","","9","openai|gpt-","yes","no",""
"Aria (Opera)","https://www.opera.com/features/aria","ai-assistant","2026-05-18T18:34:03.745Z","200","likely-pass","manual-review","pass","pass","no-pricing-page","manual-review","","3","openai","no","no","No /pricing or /plans page reachable for V5 audit"
"Perplexity","https://www.perplexity.ai","ai-search","2026-05-18T18:34:19.317Z","403","","","","","","","","0","","no","no","Homepage returned HTTP 403"
"You.com","https://you.com","ai-search","2026-05-18T18:34:20.396Z","200","likely-pass","manual-review","partial","pass","mixed","manual-review","","2","openai|anthropic","yes","yes",""
"Phind","https://www.phind.com","ai-search","2026-05-18T18:34:31.897Z","403","","","","","","","","0","","no","no","Homepage returned HTTP 403"
"Hex","https://hex.tech","data","2026-05-18T18:34:32.990Z","200","likely-pass","manual-review","pass","no-privacy-page","pass","manual-review","","3","","yes","no","No /privacy page reachable for V4 audit"
"Hyperarrow","https://www.hyperarrow.com","ai-ops","2026-05-18T18:34:48.288Z","200","likely-pass","manual-review","pass","no-privacy-page","no-pricing-page","manual-review","","9","","no","no","No /privacy page reachable for V4 audit; No /pricing or /plans page reachable for V5 audit"
"Aikido","https://www.aikido.dev","security","2026-05-18T18:35:04.138Z","200","likely-pass","manual-review","pass","flag-no-mention","no-signal","manual-review","","5","","no","no",""